,Job Title,Client,Job Description,Location
0,"Senior Business Intelligence Data Engineer, Cash App",Cash App,Standardize and enshrine business and product metric definitions in highly curated and optimized datasets using ETL in our data warehouse,"San Francisco, CA"
7,"(Intern) Software Engineer, Data Science",Samsara,"Experience with data manipulation and processing, preferably in SQL or Python (e.g., using PySpark)","San Francisco, CA 94123"
11,Data Engineer,Dolls Kill,"Develop automated data pipelines for the extraction, preparation, and ingestion of data","San Francisco, CA"
13,Data Engineer,Dolls Kill,"Experience working with BI reporting tools such as Looker, Tableau or Microstrategy","San Francisco, CA"
21,Sales Engineer/Healthcare Data Analyst,"Amino, Inc.","Comfortable writing clean, wellvalidated code in SQL, and are familiar with modern programming environments. (Bonus: You have working knowledge of Python.)","San Francisco, CA"
32,Data Engineer (AML/KYC/Sanctions/Fraud Detection Process),Grail Insights,Project ManagementMaking significant contributions to the design of the analytical approach and work planBeing responsible for smooth project operations – overall project quality and productivity of teams,"San Francisco, CA"
33,Data Engineer (AML/KYC/Sanctions/Fraud Detection Process),Grail Insights,Making significant contributions to the design of the analytical approach and work plan,"San Francisco, CA"
41,"Software Engineer, Data",Brex,Low tolerance for system failures and a desire to build easily maintainable pipelines and services.,"San Francisco, CA"
53,Data Engineer,Hive,Writing scheduled Spark pipelines that perform sophisticated queries on the entirety of our datasets,"San Francisco, CA"
55,Data Engineer,Hive,Building out our data infrastructure and managing dependencies between data pipelines,"San Francisco, CA"
56,Data Engineer,Hive,"You have handson experience doing ETL and have written data pipelines in either Spark, Hadoop, or similar technologies","San Francisco, CA"
59,Data Engineer,CommonStock,Own the ETL pipeline for our Market Data and Broker services while optimizing queries,"San Francisco, CA 94111"
67,Data Engineer,CommonStock,"Strong grasp of available data pipeline and machine learning technologies (Spark, Tensorflow, AirFlow, SageMaker etc.  experience with AWS ecosystem a plus)","San Francisco, CA 94111"
73,Lead Data Engineer,Full Harvest,"A fun, challenging environment that will give you the chance to significantly grow and learn","San Francisco, CA"
79,Data Platform Engineer,Nova Credit,"Designing, implementing, iterating on, and maintaining data pipelines and storage systems","San Francisco, CA 94103"
82,Data Platform Engineer,Nova Credit,"You have strong skills as a programmer (Python, Javascript) and performing data analysis (SQL, Spark, etc.)","San Francisco, CA 94103"
