kafka,kafka
storm,storm
spark,spark
nifi,nifi
cassandra,cassandra
flink,flink
cloudera,cloudera
pentaho,pentaho
cleaner,cleaner
hive,hive
mapreduce,mapreduce
mongodb,mongodb
flume,flume
elasticsearch,elasticsearch
hadoop,hadoop
aws,aws
glue,glue
stitch,stitch
infosphere,infosphere
airflow,airflow
kubernetes,kubernetes
neo4j,neo4j
avro,avro
sql,sql
pig,pig
sqoop,sqoop
emr,emr
lake,lake
bricks,bricks
batch,batch
yarn,yarn
azure,azure
agile,agile
etl,etl
s3,s3
jenkins,jenkins
relational,relational
devops,devops
microservice,microservice
automate,automate
scalable,scalable
apache,apache
gcp,gcp
google,google
amazon,amazon
redshift,redshift
realtime,realtime
pipeline,pipeline
docker,docker
lambda,lambda
tableau,tableau
ec2,ec2
hbase,hbase
j2ee,j2ee
hdfs,hdfs
terra,terra
ci/cd,ci/cd
snowflake,snowflake
saas,saas
kinesis,kinesis
postgres,postgres
dynamo,dynamo
power bi,power bi
matplotlib,matplotlib
